time,open,high,low,close
1653321600,30358.8,30531.8,29050,29062.8
1653336000,29062.6,29470,28840.7,29097.7
1653350400,29097.8,29318.5,29040,29288.2
1653364800,29288.1,29431.6,29229.4,29387.3
1653379200,29387.3,29420,29100.8,29280.4
1653393600,29280.3,29672,28637.6,29373.9
1653408000,29374,29581.9,29080,29378.8
1653422400,29378.8,29887.3,29250,29643.1
1653436800,29643,30246.7,29539.3,30188.9
1653451200,30189,30209.3,29658.4,29695.6
1653465600,29695.7,29949.2,29338.3,29403.5
1653480000,29403.5,29900,29330,29616.1
1653494400,29616,30046,29415.7,29584
1653508800,29584,29867.2,29525.5,29536.7
1653523200,29536.7,29877,29480.1,29826.3
1653537600,29826.4,29872.5,29505.1,29714.9
1653552000,29715,29729.8,28840,28992.8
1653566400,28992.9,29519,27952.1,29374.4
1653580800,29374.5,29788,29351.5,29374.8
1653595200,29374.8,29680.7,29164.1,29194
1653609600,29194,29387,28825.6,29004.7
1653624000,29004.8,29236.5,28617.8,28977
1653638400,28977.9,29137.6,28750.5,28902.1
1653652800,28902,29369.8,28621.9,28835.5
1653667200,28835.6,29043.5,28259.6,28870
1653681600,28869.9,29009,28512.4,28623.2
1653696000,28623.3,28830,28520,28805.2
1653710400,28805.3,28937.5,28735.5,28870.9
1653724800,28871,28919.9,28755,28817.8
1653739200,28817.8,29265.7,28782.8,28974.7
1653753600,28974.7,29060.8,28800,29013.5
1653768000,29013.4,29150,28942,29018.8
1653782400,29018.8,29034.9,28825,28969.9
1653796800,28969.9,29058.6,28905.2,29000.4
1653811200,29000.4,29228.9,28941,29204
1653825600,29204,29500,29150,29210.5
1653840000,29210.6,29351.7,29067.9,29119.4
1653854400,29119.4,29595.2,29073.4,29452.8
1653868800,29452.6,30448,29301.1,30345.6
1653883200,30345.6,30983,30225.4,30625.3
1653897600,30625.3,30761.5,30557.5,30659.1
1653912000,30659,30964.6,30255,30617.9
1653926400,30618,30892.1,30555.6,30629.4
1653940800,30629.5,32307.6,30533,31726.5
1653955200,31726.5,31848.7,31425.1,31763.3
1653969600,31763.3,31799,31431.6,31570.4
1653984000,31570.5,31832.5,31494.9,31756
1653998400,31755.5,32189.9,31222,32045.9
1654012800,32045.9,32427.5,31562,31618.9
1654027200,31618.5,31932.3,31586.2,31797.8
1654041600,31797.9,31986.1,31610.1,31624
1654056000,31624,31666,31358,31479.6
1654070400,31479.6,31700,31427.5,31596
1654084800,31596,31888,30710.1,30733.7
1654099200,30733.6,30745,29874.4,30116.5
1654113600,30116.5,30151.2,29300,29796.9
1654128000,29796.9,29899.9,29566.1,29718.4
1654142400,29718.5,30113.5,29633.2,29952.8
1654156800,29952.8,30197,29845.2,30157.8
1654171200,30157.8,30380,29579.9,30194.4
1654185600,30194.4,30399.8,29948.6,30272.2
1654200000,30272.2,30750,30215,30437.1
1654214400,30437.1,30693.2,30330.4,30510.5
1654228800,30510.4,30545.1,30256.9,30424.3
1654243200,30424.2,30520,29653.4,29744
1654257600,29744,29880,29220,29486.7
1654272000,29486.8,29677,29381.6,29560.5
1654286400,29560.4,29878.1,29545.4,29682.8
1654300800,29682.8,29750.9,29465,29543.2
1654315200,29543.3,29732.1,29529.7,29690.5
1654329600,29690.4,29794.1,29575,29669.7
1654344000,29669.8,29988,29456,29839.9
1654358400,29839.9,29844.9,29592.4,29642.6
1654372800,29642.6,29968.7,29615.4,29848.4
1654387200,29848.5,29884.9,29663,29756.2
1654401600,29755.8,29809.7,29630.3,29630.6
1654416000,29630.6,29733.1,29524,29700.7
1654430400,29700.7,29975,29611.3,29958.3
1654444800,29958.4,30250,29746.4,30036.3
1654459200,30036.3,30123.8,29794.6,29909.9
1654473600,29910,31292,29876.2,31235
1654488000,31235,31473.9,31130.7,31277.9
1654502400,31277.8,31594.6,31261.2,31392
1654516800,31392.1,31780,31138.4,31529.8
1654531200,31529.7,31548.7,31053,31466.9
1654545600,31466.9,31596,31269.8,31361.2
1654560000,31361.2,31373.9,29190,29547.5
1654574400,29547.5,29615.8,29370.6,29569
1654588800,29569.1,29720,29320,29504.5
1654603200,29504.6,30050,29384.5,29876
1654617600,29876,31428.8,29730,31050.5
1654632000,31050.4,31599,30303.3,31118.1
1654646400,31118,31325,29825,30006
1654660800,30006,30689.5,29856.1,30547.9
1654675200,30547.9,30604.3,30321,30399.2
1654689600,30399.2,30888,30031.6,30458
1654704000,30461,30536.6,29900,30127.6
